name,proto,anim,tang,gender,possessable,posr,unique,count,size,tags,precomp,complements,inflections,prohibitions,disabled
Illuminatus,Canuck,,,,,,,,,,,,pl:Illuminati,,
infant,human,2,,,,,,,,,,,,,
janitor,human,,,,2,tags:building,,,,,,,,,
jeep,car,,,,,,,,,,,,,,
John Calvin,Batman,,,,,,,,,,,,,,
John Lennon,Batman,,,,,,,,,,,,,,
Kraken,dog,,,,,,,,7,waterAnimal,,,,,
kung-fu,dancing,,,,,,,,,,,,,,
Leeroy Jenkins,Batman,,,,,,,,,,,,,,
Les Miserables,The Iliad,,,,,,,,,,,,,,
letter.1,letter,,,,0,,,,1,,,(40 from NP{anim:3;number:sg}) (40 about NP),,case:gen,
Lex Luther,Batman,,,,,,,,,,,,,,
llama,dog,,,,,,,,6,,,,,,
mailman,human,,,m,3,,,,,,,,pl:mailmen,,
Margaret Thatcher,Batman,,,,,,,,,,,,,,
Martin Luther,Batman,,,,,,,,,,,,,,
message,letter,,"1,2",,5,,,,,,,,,,
minotaur,human,"2,3",,,,,,,,,,,,,
minion,human,,,,6,anim:3,,,,,,,,,
missionary,human,,,,,,,,,,,,,,
money,garbage,,,,,tags:person|organization|territory,,,,,,,,,
monsoon,storm,,,,,,,,,,,,,,
Morgan Freeman,Batman,,,,,,,,,,,,,,
Moss Doerksen,Batman,,,,,,,,,,,,,,
mother,human,,,f,8,anim:>1,,,,,,,,,
Mr. Magoo,Batman,,,,,,,,,,,,,,
neighbor,human,,,,7,anim:3,,,,,,,,,
nerd,human,,,,,,,,,,,,,,
geek,human,,,,,,,,,,,,,,
traitor,human,,,,,,,,,,,,,,
villain,human,,,,,,,,,,,,,,
hero,human,,,,,,,,,,,,,,
loser,human,,,,,,,,,,,,,,
slob,human,,,,,,,,,,,,,,
hoodlum,human,,,,,,,,,,,,,,
gangster,human,,,,,,,,,,,,,,
artist,human,,,,,,,,,,,,,,
accountant,human,,,,,,,,,,,,,,
anarchist,human,,,,,,,,,,,,,,
waitress,human,,,,,,,,,,,,,,
dancer,human,,,,,,,,,,,,,,
lawyer,human,,,,,,,,,,,,,,
lumberjack,human,,,,,,,,,,,,,,
soldier,human,,,,,,,,,,,,,,
linguist,human,,,,,,,,,,,,,,
